team_id,team_url,fifa_version,fifa_update,fifa_update_date,team_name,league_id,league_name,league_level,nationality_id,nationality_name,overall,attack,midfield,defence,coach_id,home_stadium,rival_team,international_prestige,domestic_prestige,transfer_budget_eur,club_worth_eur,starting_xi_average_age,whole_team_average_age,captain,short_free_kick,long_free_kick,left_short_free_kick,right_short_free_kick,penalties,left_corner,right_corner,def_style,def_team_width,def_team_depth,def_defence_pressure,def_defence_aggression,def_defence_width,def_defence_defender_line,off_style,off_build_up_play,off_chance_creation,off_team_width,off_players_in_box,off_corners,off_free_kicks,build_up_play_speed,build_up_play_dribbling,build_up_play_passing,build_up_play_positioning,chance_creation_passing,chance_creation_crossing,chance_creation_shooting,chance_creation_positioning
113009,/team/113009/united-states-w/230009,23,9,2023-01-13,United States W,2136,World Cup Women,,95,United States,85,87,84,83,37350129,Lumen Field,113000,10,,,,28.64,28.57,226177,231432,231432,231432,231432,226301,232073,232073,Balanced,41,51,,,,,,Slow Build Up,Possession,41,6,3,3,,,,,,,,
116033,/team/116033/lyon-w/230009,23,9,2023-01-13,Lyon W,2218,Feminine Division 1,1,18,France,85,83,85,85,35304616,Groupama Stadium,116034,3,2,,1000000,27.18,25.43,227316,231432,231432,231432,231432,227331,227331,265674,Press After Possession Loss,61,81,,,,,,Fast Build Up,Forward Runs,61,6,3,3,,,,,,,,
113002,/team/113002/england-w/230009,23,9,2023-01-13,England W,2136,World Cup Women,,14,England,84,82,85,85,35280567,Wembley Stadium,113004,6,,,,26.36,25.61,246426,245802,246426,257008,245802,243404,245802,257008,Press After Possession Loss,71,61,,,,,,Fast Build Up,Forward Runs,71,4,3,3,,,,,,,,
113003,/team/113003/france-w/230009,23,9,2023-01-13,France W,2136,World Cup Women,,18,France,84,86,83,85,464820,Orange Vélodrome,113004,7,,,,27.0,26.09,227316,227344,227344,227344,227344,227316,227344,227344,Pressure On Heavy Touch,61,61,,,,,,Fast Build Up,Forward Runs,61,6,3,3,,,,,,,,
113004,/team/113004/germany-w/230009,23,9,2023-01-13,Germany W,2136,World Cup Women,,21,Germany,84,85,84,81,35280557,Molton Road (Sheldon Stadium),113002,10,,,,25.18,25.7,226302,233837,233837,233837,233837,227337,227337,233838,Press After Possession Loss,61,61,,,,,,Balanced,Balanced,61,4,3,3,,,,,,,,
116010,/team/116010/chelsea-w/230009,23,9,2023-01-13,Chelsea W,2216,Women's Super League,1,14,England,83,84,82,85,32431129,Stamford Bridge,116009,3,2,,1000000,27.0,25.07,226998,227323,227383,227323,227323,227323,245882,245882,Press After Possession Loss,61,71,,,,,,Fast Build Up,Forward Runs,81,5,3,3,,,,,,,,
116034,/team/116034/paris-sg-w/230009,23,9,2023-01-13,Paris SG W,2218,Feminine Division 1,1,18,France,83,85,80,83,37654887,Parc des Princes,116033,3,2,,1000000,26.82,26.12,227361,233748,233748,233748,233748,227361,233748,261733,Press After Possession Loss,61,81,,,,,,Fast Build Up,Forward Runs,61,7,3,3,,,,,,,,
116009,/team/116009/arsenal-w/230009,23,9,2023-01-13,Arsenal W,2216,Women's Super League,1,14,England,82,84,84,80,15434001,Emirates Stadium,116010,3,2,,1000000,26.0,25.39,265239,227119,227119,227119,227119,233746,227119,227119,Press After Possession Loss,61,71,,,,,,Fast Build Up,Forward Runs,81,3,3,3,,,,,,,,
113000,/team/113000/canada-w/230009,23,9,2023-01-13,Canada W,2136,World Cup Women,,70,Canada,81,78,81,82,37428117,BC Place Stadium,113009,7,,,,28.55,27.22,226359,227381,227381,227387,227381,227392,227381,227387,Balanced,51,51,,,,,,Balanced,Balanced,61,3,3,3,,,,,,,,
113008,/team/113008/sweden-w/230009,23,9,2023-01-13,Sweden W,2136,World Cup Women,,46,Sweden,81,82,79,82,35279752,Stadion Neder,113007,8,,,,29.18,28.48,226975,226987,226998,226987,226987,226987,226987,266939,Press After Possession Loss,61,51,,,,,,Balanced,Balanced,71,4,3,3,,,,,,,,
116035,/team/116035/paris-w/230009,23,9,2023-01-13,Paris W,2218,Feminine Division 1,1,18,France,81,83,81,80,26313202,Euro Arena,116034,3,2,,1000000,28.0,24.32,227326,227326,241546,227326,227326,227326,227326,227326,Pressure On Heavy Touch,51,51,,,,,,Slow Build Up,Possession,51,6,3,3,,,,,,,,
113011,/team/113011/netherlands-w/230009,23,9,2023-01-13,Netherlands W,2136,World Cup Women,,34,Netherlands,80,85,81,78,455803,Johan Cruijff ArenA,113004,8,,,,26.18,25.17,233747,233747,233747,233747,233747,233747,233747,233747,Pressure On Heavy Touch,51,61,,,,,,Balanced,Balanced,51,5,3,3,,,,,,,,
116012,/team/116012/manchester-united-w/230009,23,9,2023-01-13,Manchester United W,2216,Women's Super League,1,14,England,80,80,81,79,37524025,Old Trafford,116017,3,2,,1000000,25.45,26.14,265273,265273,247797,265273,265273,265273,265273,265273,Press After Possession Loss,61,61,,,,,,Slow Build Up,Possession,71,3,3,3,,,,,,,,
116017,/team/116017/manchester-city-w/230009,23,9,2023-01-13,Manchester City W,2216,Women's Super League,1,14,England,80,82,79,78,2079,466,116012,3,2,,1000000,23.82,24.48,227254,227254,227254,227254,257001,227254,257001,227254,Pressure On Heavy Touch,51,61,,,,,,Fast Build Up,Forward Runs,61,4,3,3,,,,,,,,
112999,/team/112999/brazil-w/230009,23,9,2023-01-13,Brazil W,2136,World Cup Women,,54,Brazil,79,82,79,79,37469773,O Dromo,113009,8,,,,31.09,29.83,245205,245206,245188,245206,245177,245205,245186,245177,Balanced,51,51,,,,,,Balanced,Balanced,61,4,3,3,,,,,,,,
