coach_id,coach_url,short_name,long_name,dob,nationality_id,nationality_name,face_url
24,/coach/24/david-unsworth/,D. Unsworth,David Unsworth,1973-10-16,14,England,
50,/coach/50/steven-gerrard/,S. Gerrard,Steven Gerrard,1980-05-30,14,England,https://cdn.sportmonks.com/images/soccer/players/18/50.png
95,/coach/95/frank-lampard/,F. Lampard,Frank Lampard,1978-06-20,14,England,https://cdn.sportmonks.com/images/soccer/players/31/95.png
121,/coach/121/carl-hoefkens/,C. Hoefkens,Carl Hoefkens,1978-10-05,7,Belgium,https://cdn.sportmonks.com/images//soccer/coaches/25/121.png
123,/coach/123/matthew-etherington/,M. Etherington,Matthew Etherington,1981-08-14,14,England,https://cdn.sportmonks.com/images/soccer/players/27/123.png
126,/coach/126/andy-dawson/,A. Dawson,Andy Dawson,1978-10-20,14,England,
204,/coach/204/ki-hyeon-seol/,K. Seol,Ki-Hyeon Seol,1979-01-08,167,Korea Republic,https://cdn.sportmonks.com/images/soccer/players/12/204.png
236,/coach/236/vincent-kompany/,V. Kompany,Vincent Kompany,1986-04-10,7,Belgium,https://cdn.sportmonks.com/images/soccer/players/12/236.png
252,/coach/252/carlos-alberto-tevez/,C. Tevez,Carlos Alberto Tevez,1984-02-05,52,Argentina,https://cdn.sportmonks.com/images/soccer/players/28/252.png
270,/coach/270/gary-oneil/,G. O'Neil,Gary O'Neil,1983-05-18,14,England,
305,/coach/305/phil-neville/,P. Neville,Phil Neville,1977-01-21,14,England,https://cdn.sportmonks.com/images//soccer/coaches/17/305.png
307,/coach/307/mikel-arteta-amatriain/,M. Arteta,Mikel Arteta Amatriain,1982-03-26,45,Spain,https://cdn.sportmonks.com/images/soccer/players/19/307.png
380,/coach/380/emre-belozoglu/,E. Belözoğlu,Emre Belözoğlu,1980-09-07,48,Turkey,https://cdn.sportmonks.com/images/soccer/players/28/380.png
382,/coach/382/damien-duff/,D. Duff,Damien Duff,1979-03-02,25,Republic of Ireland,https://cdn.sportmonks.com/images/soccer/players/30/382.png
384,/coach/384/darren-moore/,D. Moore,Darren Moore,1974-04-22,14,England,
468,/coach/468/wade-elliott/,W. Elliott,Wade Elliott,1978-12-14,14,England,https://cdn.sportmonks.com/images/soccer/players/20/468.png
491,/coach/491/ian-ross-evatt/,I. Evatt,Ian Ross Evatt,1981-11-19,14,England,
497,/coach/497/dirk-kuijt/,D. Kuijt,Dirk Kuijt,1980-07-22,34,Netherlands,https://cdn.sportmonks.com/images/soccer/players/17/497.png
511,/coach/511/xabier-alonso-olano/,X. Alonso Olano,Xabier Alonso Olano,1981-11-25,45,Spain,https://cdn.sportmonks.com/images/soccer/players/31/511.png
562,/coach/562/rob-edwards/,R. Edwards,Rob Edwards,1982-12-25,50,Wales,
579,/coach/579/wayne-mark-rooney/,W. Rooney,Wayne Mark Rooney,1985-10-24,14,England,https://cdn.sportmonks.com/images/soccer/players/3/579.png
607,/coach/607/gary-mcsheffrey/,G. McSheffrey,Gary McSheffrey,1982-08-13,14,England,
611,/coach/611/mehdi-nafti/,M. Nafti,Mehdi Nafti,1978-11-28,145,Tunisia,
618,/coach/618/liam-rosenior/,L. Rosenior,Liam Rosenior,1984-07-09,14,England,https://cdn.sportmonks.com/images/soccer/players/10/618.png
645,/coach/645/michael-carrick/,M. Carrick,Michael Carrick,1981-07-28,14,England,https://cdn.sportmonks.com/images/soccer/players/5/645.png
658,/coach/658/joey-barton/,J. Barton,Joey Barton,1982-09-02,14,England,https://cdn.sportmonks.com/images/soccer/players/18/658.png
684,/coach/684/nick-montgomery/,N. Montgomery,Nick Montgomery,1981-10-28,42,Scotland,https://cdn.sportmonks.com/images/soccer/players/12/684.png
